name,terminalname,lat,long
14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617
7th & F St NW / National Portrait Gallery,31232,38.897324,-77.022322
17th & K St NW / Farragut Square,31233,38.902061,-77.038322
20th & O St NW / Dupont South,31234,38.908905,-77.04478
4th & D St NW / Judiciary Square,31621,38.895344,-77.016106
19th St & Constitution Ave NW,31235,38.8923,-77.0436
37th & O St NW / Georgetown University,31236,38.90774,-77.071652
11th & H St NE,31614,38.899983,-76.991383
25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485
Columbus Circle / Union Station,31623,38.89696,-77.00493
North Capitol St & F St NW,31624,38.897446,-77.009888
11th & M St NW,31266,38.905607,-77.027137
36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334
14th & G St NW,31238,38.898069,-77.031823
Potomac Ave & 35th St S,31052,38.844015,-77.050537
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657
11th & F St NW,31262,38.897857,-77.026975
23rd & E St NW ,31260,38.896104,-77.049882
Lynn & 19th St North,31014,38.897315,-77.070993
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305
Clarendon Blvd & Pierce St,31016,38.893648,-77.076701
Court House Metro / Wilson Blvd & N Uhle St,31017,38.891696,-77.0846
N Rhodes & 16th St N,31018,38.892164,-77.079375
Fairfax Village,31706,38.86559,-76.952103
21st St & Constitution Ave NW,31261,38.892459,-77.046567
Wilson Blvd & N Edgewood St,31019,38.889,-77.0925
Columbia Rd & Belmont St NW,31113,38.920669,-77.04368
17th & Rhode Island Ave NW,31239,38.906602,-77.038785
Thomas Circle,31241,38.9059,-77.0325
Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889
Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308
Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875
18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539
Maryland & Independence Ave SW,31243,38.887299,-77.018939
4th & E St SW,31244,38.88412,-77.017445
3rd & G St SE,31625,38.881185,-77.001828
7th & R St NW / Shaw Library,31245,38.912719,-77.022155
9th & Upshur St NW,31404,38.9418,-77.0251
1st & Rhode Island Ave NW,31506,38.915417,-77.012289
Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344
California St & Florida Ave NW,31116,38.917761,-77.04062
Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723
3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599
Anacostia Ave & Benning Rd NE / River Terrace ,31708,38.896544,-76.96012
M St & Pennsylvania Ave NW,31246,38.905126,-77.056887
15th St & Massachusetts Ave SE,31626,38.88732,-76.983569
Congress Heights Metro,31806,38.844711,-76.987823
N Quincy St & Glebe Rd,31035,38.876393,-77.107735
Wilson Blvd & N Oakland St,31033,38.8815,-77.10396
N Veitch  & 20th St N,31029,38.896923,-77.086502
11th & K St NW,31263,38.90268,-77.02674
Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745
Key Blvd & N Quinn St,31027,38.896015,-77.078107
1st & K St SE,31628,38.87861,-77.006004
39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271
1st & Washington Hospital Center NW,31507,38.928743,-77.012457
Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148
Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783
Washington Blvd & 10th St N,31026,38.884734,-77.093485
Jefferson Dr & 14th St SW,31247,38.888553,-77.032429
Smithsonian / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858
George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207
6th St & Indiana Ave NW,31264,38.894573,-77.01994
N Veitch & Key Blvd,31028,38.893241,-77.086045
N Adams St & Lee Hwy,31030,38.89593,-77.089006
15th & N Scott St,31031,38.89054,-77.08095
Washington Blvd & 7th St N,31032,38.880834,-77.091129
Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768
N Randolph St & Fairfax Dr,31034,38.882629,-77.109366
Jefferson Memorial,31249,38.879819,-77.037413
Good Hope Rd & 14th St SE,31803,38.866611,-76.985238
Glebe Rd & 11th St N,31038,38.883921,-77.116817
N Quincy St & Wilson Blvd,31039,38.880151,-77.107673
Fairfax Dr & Kenmore St,31040,38.884616,-77.10108
Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941
20th & L St NW,31250,38.903584,-77.044789
12th & L St NW,31251,38.903819,-77.0284
21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564
19th & K St NW,31253,38.902204,-77.04337
Prince St & Union St,31041,38.803124,-77.040363
Market Square / King St & Royal St,31042,38.804718,-77.043363
Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664
King St & Patrick St,31044,38.805317,-77.049883
15th & K St NW,31254,38.902,-77.03353
Commerce St & Fayette St,31045,38.805648,-77.05293
Henry St & Pendleton St,31046,38.811456,-77.050276
Braddock Rd Metro,31047,38.814577,-77.052808
King St Metro,31048,38.805767,-77.06072
24th & N St NW,31255,38.9066,-77.05152
10th & E St NW,31256,38.895914,-77.026064
22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911
Utah St & 11th St N ,31049,38.883669,-77.113905
Barton St & 10th St N,31050,38.884961,-77.08777
Arlington Blvd & N Queen St,31051,38.889365,-77.077294
Lincoln Memorial,31258,38.888251,-77.049426
20th St & Virginia Ave NW,31259,38.894722,-77.045128
5th St & Massachusetts Ave NW,31265,38.90093,-77.018677
39th & Veazey St NW,31308,38.943837,-77.077078
Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426
M St & Delaware Ave NE,31627,38.905707,-77.003041
Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319
Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733
28th St S & S Meade St,31055,38.846222,-77.069275
18th St & Wyoming Ave NW,31114,38.918809,-77.041571
5th & Kennedy St NW,31403,38.956595,-77.019815
Georgia Ave & Emerson St NW,31405,38.949662,-77.027333
14th & Upshur St NW,31406,38.942016,-77.032652
14th St & Colorado Ave NW,31407,38.956432,-77.032947
S Troy St & 26th St S,31056,38.847977,-77.075104
S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931
S Oakland St & Columbia Pike,31058,38.860789,-77.09586
S Abingdon St & 36th St S,31059,38.835213,-77.094295
S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555
S Kenmore & 24th St S,31061,38.848454,-77.084918
Connecticut Ave & Yuma St NW,31311,38.947175,-77.065131
Wisconsin Ave & O St NW,31312,38.90849,-77.063586
S George Mason Dr & 13th St S,31062,38.854691,-77.100555
Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956
17th St & Massachusetts Ave NW,31267,38.908142,-77.038359
15th & Euclid St  NW,31117,38.92333,-77.0352
8th & East Capitol St NE,31629,38.889988,-76.995193
New Jersey Ave & R St NW,31509,38.912659,-77.017669
15th & East Capitol St NE,31630,38.889908,-76.983326
8th & F St NE,31631,38.897274,-76.994749
18th St & Rhode Island Ave NE,31510,38.927095,-76.978924
15th & F St NE,31632,38.897195,-76.983575
12th & Irving St NE,31511,38.928644,-76.990955
34th St & Minnesota Ave SE,31709,38.884085,-76.957461
Alabama & MLK Ave SE,31800,38.843222,-76.999388
Pleasant St & MLK Ave SE,31807,38.863897,-76.990037
Neal St & Trinidad Ave NE,31512,38.903732,-76.987211
13th & U St NW,31268,38.916794,-77.029779
S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022
S Stafford & 34th St S,31064,38.834108,-77.087323
N Pershing Dr & Wayne St,31065,38.880705,-77.08596
Columbia Pike & S Orme St,31066,38.867262,-77.072315
3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955
8th & D St NW,31270,38.894851,-77.02324
3rd & Elm St NW,31118,38.917622,-77.01597
Rhode Island Ave & V St NE,31513,38.918155,-77.004746
Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917
Washington & Independence Ave SW/HHS,31272,38.88731,-77.01397
Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887397,-77.026154
